id,title,original_language,release_date,vote_count,vote_average,adult,genre_names
760161,Orphan: First Kill,en,27-07-22,902,6.9,FALSE,"Horror, Thriller"
760741,Beast,en,11-08-22,584,7.1,FALSE,"Adventure, Drama, Horror"
882598,Smile,en,23-09-22,114,6.8,FALSE,"Horror, Mystery, Thriller"
756999,The Black Phone,en,22-06-22,2736,7.9,FALSE,"Horror, Thriller"
772450,Presences,es,07-09-22,83,7,FALSE,Horror
717728,Jeepers Creepers: Reborn,en,15-09-22,125,5.8,FALSE,"Horror, Mystery, Thriller"
762504,Nope,en,20-07-22,1684,7,FALSE,"Horror, Mystery, Science Fiction, Thriller"
927341,Hunting Ava Bravo,en,01-04-22,73,6.5,FALSE,"Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War"
760104,X,en,17-03-22,1035,6.8,FALSE,"Horror, Mystery, Thriller"
836225,The Exorcism of God,en,11-03-22,637,7.3,FALSE,Horror
801071,The Jack in the Box: Awakening,en,24-02-22,157,6.4,FALSE,Horror
852830,Torn Hearts,en,20-05-22,39,6.1,FALSE,"Horror, Music, Thriller"
758724,The Cellar,en,25-03-22,257,6.6,FALSE,"Horror, Mystery"
816952,My Best Friend's Exorcism,en,29-09-22,43,6.1,FALSE,"Comedy, Horror"
755566,Day Shift,en,10-08-22,1129,6.9,FALSE,"Action, Comedy, Fantasy, Horror"
896448,Beneath the Surface,en,01-04-22,50,6.9,FALSE,"Fantasy, Horror, Mystery, Thriller"
629015,Shut In,en,24-03-22,224,7.2,FALSE,"Horror, Thriller"
661791,The Grandmother,es,28-01-22,272,5.9,FALSE,"Drama, Horror"
25853,Dahmer,en,21-06-02,220,5.2,FALSE,"Drama, Horror"
945657,Titanic 666,en,15-04-22,98,6,FALSE,"Horror, Thriller"
871832,Visitor,es,11-02-21,7,6.1,FALSE,Horror
610253,Halloween Kills,en,14-10-21,1941,6.7,FALSE,"Horror, Thriller"
864370,Incantation,zh,18-03-22,339,6.9,FALSE,Horror
756681,Veneciafrenia,es,22-04-22,133,6.1,FALSE,Horror
632727,Texas Chainsaw Massacre,en,18-02-22,958,5.3,FALSE,"Horror, Thriller"
646385,Scream,en,12-01-22,1732,6.7,FALSE,"Horror, Mystery, Thriller"
613093,Valley of the Dead,es,08-10-20,201,6.3,FALSE,"Comedy, Horror, War"
616820,Halloween Ends,en,12-10-22,2,10,FALSE,"Horror, Mystery, Thriller"
49690,Smile,it,28-08-09,16,3.9,FALSE,"Horror, Thriller"
21208,Orphan,en,24-07-09,4403,7,FALSE,"Horror, Mystery, Thriller"
825808,See for Me,en,07-01-22,110,6.1,FALSE,"Crime, Drama, Horror, Mystery, Thriller"
831410,Bring It On: Cheer or Die,en,27-09-22,34,6.2,FALSE,"Comedy, Horror, Thriller, TV Movie"
833425,No Exit,en,25-02-22,750,7,FALSE,"Horror, Mystery, Thriller"
816977,They/Them,en,24-07-22,105,5.3,FALSE,"Horror, Thriller"
803114,The Requin,en,28-01-22,191,4.7,FALSE,"Horror, Thriller"
55341,Jeepers Creepers 3,en,26-09-17,692,4.9,FALSE,"Horror, Mystery, Thriller"
423108,The Conjuring: The Devil Made Me Do It,en,25-05-21,4689,7.6,FALSE,"Horror, Mystery, Thriller"
460458,Resident Evil: Welcome to Raccoon City,en,24-11-21,1831,6.1,FALSE,"Action, Horror, Science Fiction"
960258,Shark Bait,en,13-05-22,163,6,FALSE,"Action, Adventure, Horror, Thriller"
639721,The Addams Family 2,en,01-10-21,953,7.1,FALSE,"Adventure, Animation, Comedy, Family, Fantasy, Horror"
474350,It Chapter Two,en,04-09-19,7221,6.9,FALSE,"Fantasy, Horror"
852485,She Will,en,15-07-22,24,5.6,FALSE,"Drama, Horror, Thriller"
